FIPS,State,County,Variable_Code,Value
1023,AL,Choctaw County,Population_Estimate_2018,12841
1025,AL,Clarke County,2010_Census_Population,25833
1025,AL,Clarke County,Population_Estimate_2011,25582
1025,AL,Clarke County,Population_Estimate_2012,25154
1025,AL,Clarke County,Population_Estimate_2013,25122
1025,AL,Clarke County,Population_Estimate_2014,24865
1025,AL,Clarke County,Population_Estimate_2015,24703
1025,AL,Clarke County,Population_Estimate_2016,24349
1025,AL,Clarke County,Population_Estimate_2017,24097
1025,AL,Clarke County,Population_Estimate_2018,23920
1027,AL,Clay County,2010_Census_Population,13932
1027,AL,Clay County,Population_Estimate_2011,13686
1027,AL,Clay County,Population_Estimate_2012,13432
1027,AL,Clay County,Population_Estimate_2013,13404
1027,AL,Clay County,Population_Estimate_2014,13440
1027,AL,Clay County,Population_Estimate_2015,13413
1027,AL,Clay County,Population_Estimate_2016,13393
1027,AL,Clay County,Population_Estimate_2017,13367
1027,AL,Clay County,Population_Estimate_2018,13275
1029,AL,Cleburne County,2010_Census_Population,14972
1029,AL,Cleburne County,Population_Estimate_2011,14928
1029,AL,Cleburne County,Population_Estimate_2012,14889
1029,AL,Cleburne County,Population_Estimate_2013,14976
1029,AL,Cleburne County,Population_Estimate_2014,15025
1029,AL,Cleburne County,Population_Estimate_2015,14917
1029,AL,Cleburne County,Population_Estimate_2016,14853
1029,AL,Cleburne County,Population_Estimate_2017,14906
1029,AL,Cleburne County,Population_Estimate_2018,14987
1031,AL,Coffee County,2010_Census_Population,49948
1031,AL,Coffee County,Population_Estimate_2011,50435
1031,AL,Coffee County,Population_Estimate_2012,51136
1031,AL,Coffee County,Population_Estimate_2013,50677
1031,AL,Coffee County,Population_Estimate_2014,50655
1031,AL,Coffee County,Population_Estimate_2015,50952
1031,AL,Coffee County,Population_Estimate_2016,51145
1031,AL,Coffee County,Population_Estimate_2017,51777
1031,AL,Coffee County,Population_Estimate_2018,51909
1033,AL,Colbert County,2010_Census_Population,54428
1033,AL,Colbert County,Population_Estimate_2011,54535
1033,AL,Colbert County,Population_Estimate_2012,54572
1033,AL,Colbert County,Population_Estimate_2013,54533
1033,AL,Colbert County,Population_Estimate_2014,54468
1033,AL,Colbert County,Population_Estimate_2015,54370
1033,AL,Colbert County,Population_Estimate_2016,54367
1033,AL,Colbert County,Population_Estimate_2017,54509
1033,AL,Colbert County,Population_Estimate_2018,54762
1035,AL,Conecuh County,2010_Census_Population,13228
1035,AL,Conecuh County,Population_Estimate_2011,13192
1035,AL,Conecuh County,Population_Estimate_2012,13044
1035,AL,Conecuh County,Population_Estimate_2013,12911
1035,AL,Conecuh County,Population_Estimate_2014,12679
1035,AL,Conecuh County,Population_Estimate_2015,12680
1035,AL,Conecuh County,Population_Estimate_2016,12501
1035,AL,Conecuh County,Population_Estimate_2017,12435
1035,AL,Conecuh County,Population_Estimate_2018,12277
1037,AL,Coosa County,2010_Census_Population,11539
1037,AL,Coosa County,Population_Estimate_2011,11487
1037,AL,Coosa County,Population_Estimate_2012,11347
1037,AL,Coosa County,Population_Estimate_2013,11256
1037,AL,Coosa County,Population_Estimate_2014,11038
1037,AL,Coosa County,Population_Estimate_2015,10938
1037,AL,Coosa County,Population_Estimate_2016,10826
1037,AL,Coosa County,Population_Estimate_2017,10757
1037,AL,Coosa County,Population_Estimate_2018,10715
1039,AL,Covington County,2010_Census_Population,37765
1039,AL,Covington County,Population_Estimate_2011,38019
1039,AL,Covington County,Population_Estimate_2012,37804
1039,AL,Covington County,Population_Estimate_2013,37812
1039,AL,Covington County,Population_Estimate_2014,37756
1039,AL,Covington County,Population_Estimate_2015,37551
1039,AL,Covington County,Population_Estimate_2016,37382
1039,AL,Covington County,Population_Estimate_2017,37078
1039,AL,Covington County,Population_Estimate_2018,36986
1041,AL,Crenshaw County,2010_Census_Population,13906
1041,AL,Crenshaw County,Population_Estimate_2011,13899
1041,AL,Crenshaw County,Population_Estimate_2012,13921
1041,AL,Crenshaw County,Population_Estimate_2013,13854
1041,AL,Crenshaw County,Population_Estimate_2014,13859
1041,AL,Crenshaw County,Population_Estimate_2015,13857
1041,AL,Crenshaw County,Population_Estimate_2016,13922
1041,AL,Crenshaw County,Population_Estimate_2017,13861
1041,AL,Crenshaw County,Population_Estimate_2018,13824
1043,AL,Cullman County,2010_Census_Population,80406
1043,AL,Cullman County,Population_Estimate_2011,80401
1043,AL,Cullman County,Population_Estimate_2012,80273
1043,AL,Cullman County,Population_Estimate_2013,80688
1043,AL,Cullman County,Population_Estimate_2014,81067
1043,AL,Cullman County,Population_Estimate_2015,81764
1043,AL,Cullman County,Population_Estimate_2016,82456
1043,AL,Cullman County,Population_Estimate_2017,82836
1043,AL,Cullman County,Population_Estimate_2018,83442
1045,AL,Dale County,2010_Census_Population,50251
1045,AL,Dale County,Population_Estimate_2011,50112
1045,AL,Dale County,Population_Estimate_2012,50284
1045,AL,Dale County,Population_Estimate_2013,49772
1045,AL,Dale County,Population_Estimate_2014,49417
1045,AL,Dale County,Population_Estimate_2015,49349
1045,AL,Dale County,Population_Estimate_2016,49301
1045,AL,Dale County,Population_Estimate_2017,49254
1045,AL,Dale County,Population_Estimate_2018,48956
1047,AL,Dallas County,2010_Census_Population,43820
1047,AL,Dallas County,Population_Estimate_2011,43256
1047,AL,Dallas County,Population_Estimate_2012,42795
1047,AL,Dallas County,Population_Estimate_2013,41983
1047,AL,Dallas County,Population_Estimate_2014,41562
1047,AL,Dallas County,Population_Estimate_2015,40948
1047,AL,Dallas County,Population_Estimate_2016,40092
1047,AL,Dallas County,Population_Estimate_2017,39235
1047,AL,Dallas County,Population_Estimate_2018,38310
1049,AL,DeKalb County,2010_Census_Population,71109
1049,AL,DeKalb County,Population_Estimate_2011,71352
1049,AL,DeKalb County,Population_Estimate_2012,70937
1049,AL,DeKalb County,Population_Estimate_2013,70911
1049,AL,DeKalb County,Population_Estimate_2014,70999
1049,AL,DeKalb County,Population_Estimate_2015,71112
1049,AL,DeKalb County,Population_Estimate_2016,71101
1049,AL,DeKalb County,Population_Estimate_2017,71404
1049,AL,DeKalb County,Population_Estimate_2018,71385
1051,AL,Elmore County,2010_Census_Population,79303
1051,AL,Elmore County,Population_Estimate_2011,80009
1051,AL,Elmore County,Population_Estimate_2012,80216
1051,AL,Elmore County,Population_Estimate_2013,80569
1051,AL,Elmore County,Population_Estimate_2014,80568
1051,AL,Elmore County,Population_Estimate_2015,80924
1051,AL,Elmore County,Population_Estimate_2016,81263
1051,AL,Elmore County,Population_Estimate_2017,81416
1051,AL,Elmore County,Population_Estimate_2018,81887
1053,AL,Escambia County,2010_Census_Population,38319
1053,AL,Escambia County,Population_Estimate_2011,38201
1053,AL,Escambia County,Population_Estimate_2012,38023
1053,AL,Escambia County,Population_Estimate_2013,37763
1053,AL,Escambia County,Population_Estimate_2014,37738
1053,AL,Escambia County,Population_Estimate_2015,37665
1053,AL,Escambia County,Population_Estimate_2016,37488
1053,AL,Escambia County,Population_Estimate_2017,36999
1053,AL,Escambia County,Population_Estimate_2018,36748
1055,AL,Etowah County,2010_Census_Population,104430
1055,AL,Etowah County,Population_Estimate_2011,104358
1055,AL,Etowah County,Population_Estimate_2012,104273
1055,AL,Etowah County,Population_Estimate_2013,103883
1055,AL,Etowah County,Population_Estimate_2014,103407
1055,AL,Etowah County,Population_Estimate_2015,103003
1055,AL,Etowah County,Population_Estimate_2016,102849
1055,AL,Etowah County,Population_Estimate_2017,102937
1055,AL,Etowah County,Population_Estimate_2018,102501
1057,AL,Fayette County,2010_Census_Population,17241
1057,AL,Fayette County,Population_Estimate_2011,17047
1057,AL,Fayette County,Population_Estimate_2012,16941
1057,AL,Fayette County,Population_Estimate_2013,16819
1057,AL,Fayette County,Population_Estimate_2014,16768
1057,AL,Fayette County,Population_Estimate_2015,16693
1057,AL,Fayette County,Population_Estimate_2016,16555
1057,AL,Fayette County,Population_Estimate_2017,16474
1057,AL,Fayette County,Population_Estimate_2018,16433
1059,AL,Franklin County,2010_Census_Population,31704
1059,AL,Franklin County,Population_Estimate_2011,31771
1059,AL,Franklin County,Population_Estimate_2012,31689
1059,AL,Franklin County,Population_Estimate_2013,31552
1059,AL,Franklin County,Population_Estimate_2014,31561
1059,AL,Franklin County,Population_Estimate_2015,31541
1059,AL,Franklin County,Population_Estimate_2016,31654
1059,AL,Franklin County,Population_Estimate_2017,31590
1059,AL,Franklin County,Population_Estimate_2018,31363
1061,AL,Geneva County,2010_Census_Population,26790
1061,AL,Geneva County,Population_Estimate_2011,26759
1061,AL,Geneva County,Population_Estimate_2012,26927
1061,AL,Geneva County,Population_Estimate_2013,26682
1061,AL,Geneva County,Population_Estimate_2014,26597
1061,AL,Geneva County,Population_Estimate_2015,26636
1061,AL,Geneva County,Population_Estimate_2016,26498
1061,AL,Geneva County,Population_Estimate_2017,26410
1061,AL,Geneva County,Population_Estimate_2018,26314
1063,AL,Greene County,2010_Census_Population,9045
1063,AL,Greene County,Population_Estimate_2011,8905
1063,AL,Greene County,Population_Estimate_2012,8850
1063,AL,Greene County,Population_Estimate_2013,8749
1063,AL,Greene County,Population_Estimate_2014,8585
1063,AL,Greene County,Population_Estimate_2015,8509
1063,AL,Greene County,Population_Estimate_2016,8483
1063,AL,Greene County,Population_Estimate_2017,8318
1063,AL,Greene County,Population_Estimate_2018,8233
1065,AL,Hale County,2010_Census_Population,15760
1065,AL,Hale County,Population_Estimate_2011,15358
1065,AL,Hale County,Population_Estimate_2012,15360
1065,AL,Hale County,Population_Estimate_2013,15247
1065,AL,Hale County,Population_Estimate_2014,15047
1065,AL,Hale County,Population_Estimate_2015,15018
1065,AL,Hale County,Population_Estimate_2016,14835
1065,AL,Hale County,Population_Estimate_2017,14809
1065,AL,Hale County,Population_Estimate_2018,14726
1067,AL,Henry County,2010_Census_Population,17302
1067,AL,Henry County,Population_Estimate_2011,17377
1067,AL,Henry County,Population_Estimate_2012,17156
1067,AL,Henry County,Population_Estimate_2013,17132
1067,AL,Henry County,Population_Estimate_2014,17082
1067,AL,Henry County,Population_Estimate_2015,17106
1067,AL,Henry County,Population_Estimate_2016,17083
1067,AL,Henry County,Population_Estimate_2017,17140
1067,AL,Henry County,Population_Estimate_2018,17209
1069,AL,Houston County,2010_Census_Population,101547
1069,AL,Houston County,Population_Estimate_2011,102470
1069,AL,Houston County,Population_Estimate_2012,103365
1069,AL,Houston County,Population_Estimate_2013,103638
1069,AL,Houston County,Population_Estimate_2014,104156
1069,AL,Houston County,Population_Estimate_2015,104268
1069,AL,Houston County,Population_Estimate_2016,104239
1069,AL,Houston County,Population_Estimate_2017,104373
1069,AL,Houston County,Population_Estimate_2018,104722
1071,AL,Jackson County,2010_Census_Population,53227
1071,AL,Jackson County,Population_Estimate_2011,53209
1071,AL,Jackson County,Population_Estimate_2012,53077
1071,AL,Jackson County,Population_Estimate_2013,52958
1071,AL,Jackson County,Population_Estimate_2014,52562
1071,AL,Jackson County,Population_Estimate_2015,52218
1071,AL,Jackson County,Population_Estimate_2016,52048
1071,AL,Jackson County,Population_Estimate_2017,51907
1071,AL,Jackson County,Population_Estimate_2018,51736
1073,AL,Jefferson County,2010_Census_Population,658466
1073,AL,Jefferson County,Population_Estimate_2011,657973
1073,AL,Jefferson County,Population_Estimate_2012,657967
1073,AL,Jefferson County,Population_Estimate_2013,659196
1073,AL,Jefferson County,Population_Estimate_2014,659918
1073,AL,Jefferson County,Population_Estimate_2015,660370
1073,AL,Jefferson County,Population_Estimate_2016,660326
1073,AL,Jefferson County,Population_Estimate_2017,659546
1073,AL,Jefferson County,Population_Estimate_2018,659300
1075,AL,Lamar County,2010_Census_Population,14564
1075,AL,Lamar County,Population_Estimate_2011,14287
1075,AL,Lamar County,Population_Estimate_2012,14245
1075,AL,Lamar County,Population_Estimate_2013,14210
1075,AL,Lamar County,Population_Estimate_2014,14067
1075,AL,Lamar County,Population_Estimate_2015,13925
1075,AL,Lamar County,Population_Estimate_2016,13927
1075,AL,Lamar County,Population_Estimate_2017,13902
1075,AL,Lamar County,Population_Estimate_2018,13844
1077,AL,Lauderdale County,2010_Census_Population,92709
1077,AL,Lauderdale County,Population_Estimate_2011,92606
1077,AL,Lauderdale County,Population_Estimate_2012,92664
1077,AL,Lauderdale County,Population_Estimate_2013,92706
1077,AL,Lauderdale County,Population_Estimate_2014,93013
1077,AL,Lauderdale County,Population_Estimate_2015,92477
1077,AL,Lauderdale County,Population_Estimate_2016,92457
1077,AL,Lauderdale County,Population_Estimate_2017,92591
1077,AL,Lauderdale County,Population_Estimate_2018,92387
1079,AL,Lawrence County,2010_Census_Population,34339
1079,AL,Lawrence County,Population_Estimate_2011,34049
1079,AL,Lawrence County,Population_Estimate_2012,33807
1079,AL,Lawrence County,Population_Estimate_2013,33577
1079,AL,Lawrence County,Population_Estimate_2014,33448
1079,AL,Lawrence County,Population_Estimate_2015,33138
1079,AL,Lawrence County,Population_Estimate_2016,33233
1079,AL,Lawrence County,Population_Estimate_2017,33077
1079,AL,Lawrence County,Population_Estimate_2018,32957
1081,AL,Lee County,2010_Census_Population,140247
1081,AL,Lee County,Population_Estimate_2011,144130
1081,AL,Lee County,Population_Estimate_2012,148581
1081,AL,Lee County,Population_Estimate_2013,151831
1081,AL,Lee County,Population_Estimate_2014,154545
1081,AL,Lee County,Population_Estimate_2015,157009
1081,AL,Lee County,Population_Estimate_2016,159297
1081,AL,Lee County,Population_Estimate_2017,161641
1081,AL,Lee County,Population_Estimate_2018,163941
1083,AL,Limestone County,2010_Census_Population,82782
1083,AL,Limestone County,Population_Estimate_2011,85542
1083,AL,Limestone County,Population_Estimate_2012,87313
1083,AL,Limestone County,Population_Estimate_2013,88910
1083,AL,Limestone County,Population_Estimate_2014,90596
1083,AL,Limestone County,Population_Estimate_2015,91571
1083,AL,Limestone County,Population_Estimate_2016,92841
1083,AL,Limestone County,Population_Estimate_2017,94076
1083,AL,Limestone County,Population_Estimate_2018,96174
1085,AL,Lowndes County,2010_Census_Population,11299
1085,AL,Lowndes County,Population_Estimate_2011,11139
1085,AL,Lowndes County,Population_Estimate_2012,10853
1085,AL,Lowndes County,Population_Estimate_2013,10665
1085,AL,Lowndes County,Population_Estimate_2014,10498
1085,AL,Lowndes County,Population_Estimate_2015,10353
1085,AL,Lowndes County,Population_Estimate_2016,10253
1085,AL,Lowndes County,Population_Estimate_2017,10104
1085,AL,Lowndes County,Population_Estimate_2018,9974
1087,AL,Macon County,2010_Census_Population,21452
1087,AL,Macon County,Population_Estimate_2011,21281
1087,AL,Macon County,Population_Estimate_2012,20611
1087,AL,Macon County,Population_Estimate_2013,20026
1087,AL,Macon County,Population_Estimate_2014,19648
1087,AL,Macon County,Population_Estimate_2015,19306
1087,AL,Macon County,Population_Estimate_2016,19064
1087,AL,Macon County,Population_Estimate_2017,18811
1087,AL,Macon County,Population_Estimate_2018,18439
1089,AL,Madison County,2010_Census_Population,334811
1089,AL,Madison County,Population_Estimate_2011,339527
1089,AL,Madison County,Population_Estimate_2012,342713
1089,AL,Madison County,Population_Estimate_2013,346633
1089,AL,Madison County,Population_Estimate_2014,349807
1089,AL,Madison County,Population_Estimate_2015,352989
1089,AL,Madison County,Population_Estimate_2016,356821
1089,AL,Madison County,Population_Estimate_2017,361665
1089,AL,Madison County,Population_Estimate_2018,366519
1091,AL,Marengo County,2010_Census_Population,21027
1091,AL,Marengo County,Population_Estimate_2011,20651
1091,AL,Marengo County,Population_Estimate_2012,20367
1091,AL,Marengo County,Population_Estimate_2013,20114
1091,AL,Marengo County,Population_Estimate_2014,19980
1091,AL,Marengo County,Population_Estimate_2015,19760
1091,AL,Marengo County,Population_Estimate_2016,19516
1091,AL,Marengo County,Population_Estimate_2017,19366
1091,AL,Marengo County,Population_Estimate_2018,19066
1093,AL,Marion County,2010_Census_Population,30776
1093,AL,Marion County,Population_Estimate_2011,30651
1093,AL,Marion County,Population_Estimate_2012,30487
1093,AL,Marion County,Population_Estimate_2013,30228
1093,AL,Marion County,Population_Estimate_2014,30202
1093,AL,Marion County,Population_Estimate_2015,30123
1093,AL,Marion County,Population_Estimate_2016,29964
1093,AL,Marion County,Population_Estimate_2017,29771
1093,AL,Marion County,Population_Estimate_2018,29763
1095,AL,Marshall County,2010_Census_Population,93019
1095,AL,Marshall County,Population_Estimate_2011,93892
1095,AL,Marshall County,Population_Estimate_2012,94268
1095,AL,Marshall County,Population_Estimate_2013,94370
1095,AL,Marshall County,Population_Estimate_2014,94277
1095,AL,Marshall County,Population_Estimate_2015,94606
1095,AL,Marshall County,Population_Estimate_2016,95123
1095,AL,Marshall County,Population_Estimate_2017,95609
1095,AL,Marshall County,Population_Estimate_2018,96109
1097,AL,Mobile County,2010_Census_Population,412992
1097,AL,Mobile County,Population_Estimate_2011,413242
1097,AL,Mobile County,Population_Estimate_2012,413922
1097,AL,Mobile County,Population_Estimate_2013,414210
1097,AL,Mobile County,Population_Estimate_2014,414590
1097,AL,Mobile County,Population_Estimate_2015,414935
1097,AL,Mobile County,Population_Estimate_2016,415499
1097,AL,Mobile County,Population_Estimate_2017,414515
1097,AL,Mobile County,Population_Estimate_2018,413757
1099,AL,Monroe County,2010_Census_Population,23068
1099,AL,Monroe County,Population_Estimate_2011,22796
1099,AL,Monroe County,Population_Estimate_2012,22582
1099,AL,Monroe County,Population_Estimate_2013,22171
1099,AL,Monroe County,Population_Estimate_2014,21927
1099,AL,Monroe County,Population_Estimate_2015,21717
1099,AL,Monroe County,Population_Estimate_2016,21545
1099,AL,Monroe County,Population_Estimate_2017,21302
1099,AL,Monroe County,Population_Estimate_2018,21067
1101,AL,Montgomery County,2010_Census_Population,229363
1101,AL,Montgomery County,Population_Estimate_2011,229168
1101,AL,Montgomery County,Population_Estimate_2012,228861
1101,AL,Montgomery County,Population_Estimate_2013,228173
1101,AL,Montgomery County,Population_Estimate_2014,227546
1101,AL,Montgomery County,Population_Estimate_2015,227244
1101,AL,Montgomery County,Population_Estimate_2016,227072
1101,AL,Montgomery County,Population_Estimate_2017,227079
1101,AL,Montgomery County,Population_Estimate_2018,225763
1103,AL,Morgan County,2010_Census_Population,119490
1103,AL,Morgan County,Population_Estimate_2011,120013
1103,AL,Morgan County,Population_Estimate_2012,120092
1103,AL,Morgan County,Population_Estimate_2013,119574
1103,AL,Morgan County,Population_Estimate_2014,119458
1103,AL,Morgan County,Population_Estimate_2015,119281
1103,AL,Morgan County,Population_Estimate_2016,118970
1103,AL,Morgan County,Population_Estimate_2017,118811
1103,AL,Morgan County,Population_Estimate_2018,119089
1105,AL,Perry County,2010_Census_Population,10591
1105,AL,Perry County,Population_Estimate_2011,10455
1105,AL,Perry County,Population_Estimate_2012,10171
1105,AL,Perry County,Population_Estimate_2013,10005
1105,AL,Perry County,Population_Estimate_2014,9804
1105,AL,Perry County,Population_Estimate_2015,9638
1105,AL,Perry County,Population_Estimate_2016,9528
1105,AL,Perry County,Population_Estimate_2017,9319
1105,AL,Perry County,Population_Estimate_2018,9140
1107,AL,Pickens County,2010_Census_Population,19746
1107,AL,Pickens County,Population_Estimate_2011,19354
1107,AL,Pickens County,Population_Estimate_2012,19312
1107,AL,Pickens County,Population_Estimate_2013,19305
1107,AL,Pickens County,Population_Estimate_2014,20283
1107,AL,Pickens County,Population_Estimate_2015,20776
1107,AL,Pickens County,Population_Estimate_2016,20309
1107,AL,Pickens County,Population_Estimate_2017,20182
1107,AL,Pickens County,Population_Estimate_2018,19938
1109,AL,Pike County,2010_Census_Population,32899
1109,AL,Pike County,Population_Estimate_2011,33017
1109,AL,Pike County,Population_Estimate_2012,33210
1109,AL,Pike County,Population_Estimate_2013,33713
1109,AL,Pike County,Population_Estimate_2014,33197
1109,AL,Pike County,Population_Estimate_2015,33522
1109,AL,Pike County,Population_Estimate_2016,33521
1109,AL,Pike County,Population_Estimate_2017,33435
1109,AL,Pike County,Population_Estimate_2018,33338
1111,AL,Randolph County,2010_Census_Population,22913
1111,AL,Randolph County,Population_Estimate_2011,22743
1111,AL,Randolph County,Population_Estimate_2012,22534
1111,AL,Randolph County,Population_Estimate_2013,22548
1111,AL,Randolph County,Population_Estimate_2014,22355
1111,AL,Randolph County,Population_Estimate_2015,22598
1111,AL,Randolph County,Population_Estimate_2016,22508
1111,AL,Randolph County,Population_Estimate_2017,22683
1111,AL,Randolph County,Population_Estimate_2018,22725
1113,AL,Russell County,2010_Census_Population,52947
1113,AL,Russell County,Population_Estimate_2011,54831
1113,AL,Russell County,Population_Estimate_2012,57482
1113,AL,Russell County,Population_Estimate_2013,59133
1113,AL,Russell County,Population_Estimate_2014,59211
1113,AL,Russell County,Population_Estimate_2015,58837
1113,AL,Russell County,Population_Estimate_2016,58208
1113,AL,Russell County,Population_Estimate_2017,57028
1113,AL,Russell County,Population_Estimate_2018,57781
1115,AL,St. Clair County,2010_Census_Population,83593
1115,AL,St. Clair County,Population_Estimate_2011,83963
1115,AL,St. Clair County,Population_Estimate_2012,84748
1115,AL,St. Clair County,Population_Estimate_2013,85805
1115,AL,St. Clair County,Population_Estimate_2014,85995
1115,AL,St. Clair County,Population_Estimate_2015,86546
1115,AL,St. Clair County,Population_Estimate_2016,87323
1115,AL,St. Clair County,Population_Estimate_2017,87976
1115,AL,St. Clair County,Population_Estimate_2018,88690
1117,AL,Shelby County,2010_Census_Population,195085
1117,AL,Shelby County,Population_Estimate_2011,197992
1117,AL,Shelby County,Population_Estimate_2012,200964
1117,AL,Shelby County,Population_Estimate_2013,204108
1117,AL,Shelby County,Population_Estimate_2014,206356
1117,AL,Shelby County,Population_Estimate_2015,209084
1117,AL,Shelby County,Population_Estimate_2016,211430
1117,AL,Shelby County,Population_Estimate_2017,213729
1117,AL,Shelby County,Population_Estimate_2018,215707
1119,AL,Sumter County,2010_Census_Population,13763
1119,AL,Sumter County,Population_Estimate_2011,13491
1119,AL,Sumter County,Population_Estimate_2012,13441
1119,AL,Sumter County,Population_Estimate_2013,13396
1119,AL,Sumter County,Population_Estimate_2014,13275
1119,AL,Sumter County,Population_Estimate_2015,13206
1119,AL,Sumter County,Population_Estimate_2016,12974
1119,AL,Sumter County,Population_Estimate_2017,12780
1119,AL,Sumter County,Population_Estimate_2018,12691
1121,AL,Talladega County,2010_Census_Population,82291
